Brand,Tagline,Product Description,completion,prompt
The CarpetStory,A linen brand to embellish surroundings with unique dust-free carpets.,A carpet in a bag that changes temperature according to the climate envisioned The CarpetStory. They proudly present customizable carpets and rugs that their team assembles at your house according to your interiors. A corner of every carpet houses a unique space to wrap the wearer’s foot with a recyclable foot cover to prevent dirt from spoiling the carpet.,"Grab your deal for innovative, temperature-regulating & dust-free carpets.",Brand: The CarpetStory\nTagline: A linen brand to embellish surroundings with unique dust-free carpets.\nProductDescription: A carpet in a bag that changes temperature according to the climate envisioned The CarpetStory. They proudly present customizable carpets and rugs that their team assembles at your house according to your interiors. A corner of every carpet houses a unique space to wrap the wearer’s foot with a recyclable foot cover to prevent dirt from spoiling the carpet.
Dog Cats & Companions,A unique veterinary experience for all pet animals. From care to cure!,"A chain of multi-specialty hospitals by renowned veterinarians who have decades of global experience in treating pets. Dog Cats and Companions is an international chain, backed by expert veterinarian advisors from US, India, and Japan. Your pet deserves the best in healthcare, and that's the reason they are here.",Bringing parity in the healthcare system by humanizing your pets with care.,"Brand: Dog Cats & Companions\nTagline: A unique veterinary experience for all pet animals. From care to cure!\nProductDescription: A chain of multi-specialty hospitals by renowned veterinarians who have decades of global experience in treating pets. Dog Cats and Companions is an international chain, backed by expert veterinarian advisors from US, India, and Japan. Your pet deserves the best in healthcare, and that's the reason they are here."
Livspace,"Livspace specializes in home interiors and decor for houses and apartments, including office spaces.","A child of the technology-driven age, Livspace aims to redefine home decor with the help of technology. With a pool of designers, stylists and consultants, Livspace brings you an exclusive collection of tasteful interiors. ","For all your home interiors and decor needs, Livspace has the best, innovative ideas.","Brand: Livspace\nTagline: Livspace specializes in home interiors and decor for houses and apartments, including office spaces.\nProductDescription: A child of the technology-driven age, Livspace aims to redefine home decor with the help of technology. With a pool of designers, stylists and consultants, Livspace brings you an exclusive collection of tasteful interiors. "
Lakshya,"A leading education institution in Kerala, India providing courses and tuitions in Commerce stream. ","A constant support partner to students preparing for top commerce exams, Lakshya is a powerful education instituition in India. We closely advise students on their journey to achieving their dreams. We also provide LIVE Online classes to ensure nothing interrupts your bright future. ","Take control of your destiny and achieve all your dreams with Lakshya, the best place for educational excellence.  ","Brand: Lakshya\nTagline: A leading education institution in Kerala, India providing courses and tuitions in Commerce stream. \nProductDescription: A constant support partner to students preparing for top commerce exams, Lakshya is a powerful education instituition in India. We closely advise students on their journey to achieving their dreams. We also provide LIVE Online classes to ensure nothing interrupts your bright future. "
Foodgram,Relish the magic pot of flavors – Foodgram your way to taste.,"A dish you always order? Or something new today? Be it any cuisine, flavor, or dish – just foodgram your way to it. The ultimate destination to treat your taste pallet. Indulge in a fiesta of flavors and cater to your cravings in style. Pick a dish that pleases your heart and makes your mouth water. Quick delivery, great quality, and a horizon of flavors – Foodgram is all you need!","Get your hands on the yummiest dish in town, Foodgram it all!","Brand: Foodgram\nTagline: Relish the magic pot of flavors – Foodgram your way to taste.\nProductDescription: A dish you always order? Or something new today? Be it any cuisine, flavor, or dish – just foodgram your way to it. The ultimate destination to treat your taste pallet. Indulge in a fiesta of flavors and cater to your cravings in style. Pick a dish that pleases your heart and makes your mouth water. Quick delivery, great quality, and a horizon of flavors – Foodgram is all you need!"
Lays,"Are you a potato chips lover? If yes, then Lays is here to guarantee a potatolicious smile on your face. ","A division of PepsiCo, Lays is a leading name in the convenient food industry. This potato chips brand has been bringing delicious lip-smacking flavors for its happy customers for over 75 years. With a love for taste and quality, Lays ensures that each potato chip that comes out of its bag is made from the premium potatoes grown exclusively for manufacturing Lays chips and crips. So add the touch of celebrations in your gatherings or relish the variety alone, enjoy your time with Lays.","Happy, sad, hungry, or angry? Lays potato chips are the ultimate companion of all your emotions. ","Brand: Lays\nTagline: Are you a potato chips lover? If yes, then Lays is here to guarantee a potatolicious smile on your face. \nProductDescription: A division of PepsiCo, Lays is a leading name in the convenient food industry. This potato chips brand has been bringing delicious lip-smacking flavors for its happy customers for over 75 years. With a love for taste and quality, Lays ensures that each potato chip that comes out of its bag is made from the premium potatoes grown exclusively for manufacturing Lays chips and crips. So add the touch of celebrations in your gatherings or relish the variety alone, enjoy your time with Lays."
Avast Antivirus,A computer and network security brand that provides free antivirus.,"A FTSE 100 company, Avast Antivirus, is a pioneer in safeguarding millions of people worldwide through securing their identity, privacy, and digital data. Winning awards every year, our software helps in creating a safer world. Our premium security and VPN services will protect your privacy online and your devices from all kinds of viruses and malware.",Need protection for your PC against virus and malware? Get Avast Antivirus.,"Brand: Avast Antivirus\nTagline: A computer and network security brand that provides free antivirus.\nProductDescription: A FTSE 100 company, Avast Antivirus, is a pioneer in safeguarding millions of people worldwide through securing their identity, privacy, and digital data. Winning awards every year, our software helps in creating a safer world. Our premium security and VPN services will protect your privacy online and your devices from all kinds of viruses and malware."
UNO,The objective is simple - pay attention to your opponents. Remember that the object of UNO is to lose all your cards and make others gain cards!,"A fun-filled card game to make anyone and everyone happy! Loaded with action cards like Skip, Reverse, Draw Two, and Draw Four - the bar of any UNO game round is extremely high on energy. Can you say ""Uno!"" faster than someone who has just gone down to one card to make them draw another two cards? Or say it faster to save yourself from having to draw?",A classic family card game that is impossible to put down and extremely easy to pick up. The first player to get rid of all the cards in their hand wins!,"Brand: UNO\nTagline: The objective is simple - pay attention to your opponents. Remember that the object of UNO is to lose all your cards and make others gain cards!\nProductDescription: A fun-filled card game to make anyone and everyone happy! Loaded with action cards like Skip, Reverse, Draw Two, and Draw Four - the bar of any UNO game round is extremely high on energy. Can you say ""Uno!"" faster than someone who has just gone down to one card to make them draw another two cards? Or say it faster to save yourself from having to draw?"
Ralph Lauren,"A publicly-traded fashion company that specializes in women, men, and kid's clothing along with home decor products.","A global fashion company in design and manufacture, Ralph Lauren brings the charm of living the life you love in the form of the clothes you wear. From your outfit choice to your choice of fabric and style, Ralph Lauren is the go-to fashion partner for every aesthetic and pleasing.","Immerse in the world of fashion with Ralph Lauren's best and latest clothing range for women, men, and kids.","Brand: Ralph Lauren\nTagline: A publicly-traded fashion company that specializes in women, men, and kid's clothing along with home decor products.\nProductDescription: A global fashion company in design and manufacture, Ralph Lauren brings the charm of living the life you love in the form of the clothes you wear. From your outfit choice to your choice of fabric and style, Ralph Lauren is the go-to fashion partner for every aesthetic and pleasing."
Mastercard,"A global technology company in the payments industry, known for making technology for credit and debit cards.","A global payment technology company founded in 1966, Mastercard is a popular name among cardholders. Headquartered in New York, Mastercard has the mission of connecting and powering an inclusive, digital economy through safe and smart transactions. ","Making payments simpler, smarter, and safer through advanced technology for over 50 years.","Brand: Mastercard\nTagline: A global technology company in the payments industry, known for making technology for credit and debit cards.\nProductDescription: A global payment technology company founded in 1966, Mastercard is a popular name among cardholders. Headquartered in New York, Mastercard has the mission of connecting and powering an inclusive, digital economy through safe and smart transactions. "
Adishwar,A retail brand that deals in consumer electronics and home appliances.,A good shopping experience in retail offers an unparallel customer satisfaction. Adishwar aims to provide the best in electronics and home appliances along with a customer experience that is best in the industry.,"Get a gadget of your choice without compromising on your budget. 
Adishwar has a gadget for every budget!",Brand: Adishwar\nTagline: A retail brand that deals in consumer electronics and home appliances.\nProductDescription: A good shopping experience in retail offers an unparallel customer satisfaction. Adishwar aims to provide the best in electronics and home appliances along with a customer experience that is best in the industry.
Ash & Roh Wine Glass,Ash & Roh is an Indian home essentials brand and their wine glasses are top selling products in their category on Amazon.,"A grand occasion calls for celebration and any celebration without Ash & Roh Wine Glasses is incomplete. Launched in 2019, our wine glasses are perfect for enjoying white wine, red wine, or whiskey along with being all-purpose. Clink our wine glasses and celebrate life with fervour without worrying about breakage because of the high-quality material used in our glasses, making them highly durable. ",Celebrate great moments of life with Ash & Roh Wine Glasses surrounded by your loved ones and laughter.,"Brand: Ash & Roh Wine Glass\nTagline: Ash & Roh is an Indian home essentials brand and their wine glasses are top selling products in their category on Amazon.\nProductDescription: A grand occasion calls for celebration and any celebration without Ash & Roh Wine Glasses is incomplete. Launched in 2019, our wine glasses are perfect for enjoying white wine, red wine, or whiskey along with being all-purpose. Clink our wine glasses and celebrate life with fervour without worrying about breakage because of the high-quality material used in our glasses, making them highly durable. "
Lakshya,"A leading education institution in Kerala, India providing courses and tuitions in Commerce stream. ","A growing education institution brand in Kerala, India, Lakshya began its journey in 2011. Headquartered in Kochi, the instituition has education centres across the Kerala state and thousands of students enrolled in them. ","Take control of your destiny and achieve all your dreams with Lakshya, the best place for educational excellence.  ","Brand: Lakshya\nTagline: A leading education institution in Kerala, India providing courses and tuitions in Commerce stream. \nProductDescription: A growing education institution brand in Kerala, India, Lakshya began its journey in 2011. Headquartered in Kochi, the instituition has education centres across the Kerala state and thousands of students enrolled in them. "
Tanishq,"A jewellery brand that conveys the message of pure jewellery, pure joy, pure India, and pure Tanishq.","A high-end precious jewellery brand, Tanishq is known for its contemporary and beautiful designs. The brand creates jewellery with impeccable craftsmanship and finesse. It combines traditional artistry with modern look and comes up with jewellery that resonates with the Indian women.",The modern-age jewelry brand that defines contemporary women.,"Brand: Tanishq\nTagline: A jewellery brand that conveys the message of pure jewellery, pure joy, pure India, and pure Tanishq.\nProductDescription: A high-end precious jewellery brand, Tanishq is known for its contemporary and beautiful designs. The brand creates jewellery with impeccable craftsmanship and finesse. It combines traditional artistry with modern look and comes up with jewellery that resonates with the Indian women."
Ash & Roh Wine Glass,Ash & Roh is an Indian home essentials brand and their wine glasses are top selling products in their category on Amazon.,"A home essentials brand in India, Ash & Roh has their manufacturing facility located in Surat, Gujarat. They manufacture household products, home and kitchen essentials, baby products, outdoor and garden products, and more. Their wine glasses are hugely popular on Amazon because of their high-quality material and elegant design. ",Celebrate great moments of life with Ash & Roh Wine Glasses surrounded by your loved ones and laughter.,"Brand: Ash & Roh Wine Glass\nTagline: Ash & Roh is an Indian home essentials brand and their wine glasses are top selling products in their category on Amazon.\nProductDescription: A home essentials brand in India, Ash & Roh has their manufacturing facility located in Surat, Gujarat. They manufacture household products, home and kitchen essentials, baby products, outdoor and garden products, and more. Their wine glasses are hugely popular on Amazon because of their high-quality material and elegant design. "
Bisleri,"

A mineral water brand that works on the line of the sweet taste of purity.","A household name when it comes to healthy and pure drinking water, Bisleri is a market leader in this field. With its strict quality code that's in sync with International standards, Bisleri strives towards providing the highest quality water to its customers. 

",,"Brand: Bisleri\nTagline: 

A mineral water brand that works on the line of the sweet taste of purity.\nProductDescription: A household name when it comes to healthy and pure drinking water, Bisleri is a market leader in this field. With its strict quality code that's in sync with International standards, Bisleri strives towards providing the highest quality water to its customers. 

"
Pandora,"Pandora is the largest jewllery brand in the world, with roots in Denmark, that is sold in more than 100 countries. ","A jewellery brand that represents your inner shine, Pandora is the best friend you need. Whether you are buying Pandora's jewellery for yourself or for that special someone, we promise to spread smiles and joy in your life. Our high-quality, affordable, and beautiful pieces will make for the best gifts in this festive season. So, get your hands at our extensive selection of sparkling jewelry today.",Surprise your special someone with the finest jewellery from Pandora they can shine in.,"Brand: Pandora\nTagline: Pandora is the largest jewllery brand in the world, with roots in Denmark, that is sold in more than 100 countries. \nProductDescription: A jewellery brand that represents your inner shine, Pandora is the best friend you need. Whether you are buying Pandora's jewellery for yourself or for that special someone, we promise to spread smiles and joy in your life. Our high-quality, affordable, and beautiful pieces will make for the best gifts in this festive season. So, get your hands at our extensive selection of sparkling jewelry today."
Pandora,"Pandora is the largest jewllery brand in the world, with roots in Denmark, that is sold in more than 100 countries. ","A jewelry brand that represents your inner shine, Pandora is the best friend you need. Whether you are buying Pandora's jewellery for yourself or for that special someone, we promise to spread smiles and joy in your life. Our high-quality, affordable, and beautiful pieces will make for the best gifts in this festive season. So, get your hands at our extensive selection of sparkling jewellery today.",Surprise your special someone with the finest jewellery from Pandora they can shine in.,"Brand: Pandora\nTagline: Pandora is the largest jewllery brand in the world, with roots in Denmark, that is sold in more than 100 countries. \nProductDescription: A jewelry brand that represents your inner shine, Pandora is the best friend you need. Whether you are buying Pandora's jewellery for yourself or for that special someone, we promise to spread smiles and joy in your life. Our high-quality, affordable, and beautiful pieces will make for the best gifts in this festive season. So, get your hands at our extensive selection of sparkling jewellery today."
Rush Order Tees,An American brand that designs custom T-shirts and apparel.,"A leader in custom apparel industry in the US, Rush Order Tees prints custom-made designs on T-shirts, hats, and more. Launched in 2002, the brand has a legacy of about 20 years. They offer free delivery on their online website, along with quicker delivery options. ",You design and we print. Get custom-made T-shirts on Rush Order Tees.,"Brand: Rush Order Tees\nTagline: An American brand that designs custom T-shirts and apparel.\nProductDescription: A leader in custom apparel industry in the US, Rush Order Tees prints custom-made designs on T-shirts, hats, and more. Launched in 2002, the brand has a legacy of about 20 years. They offer free delivery on their online website, along with quicker delivery options. "
Livspace,"Livspace specializes in home interiors and decor for houses and apartments, including office spaces.","A leader in the interior space, Livspace facilitates home interiors with 3D space planning, furniture display, item positioning and much more. Get to know more about the location and flow of your home and its setup with the help of the Livspace app.","For all your home interiors and decor needs, Livspace has the best, innovative ideas.","Brand: Livspace\nTagline: Livspace specializes in home interiors and decor for houses and apartments, including office spaces.\nProductDescription: A leader in the interior space, Livspace facilitates home interiors with 3D space planning, furniture display, item positioning and much more. Get to know more about the location and flow of your home and its setup with the help of the Livspace app."
Altor Smart Helmets,A premium smart helmet for the pro bikers out there. Experience touch-enabled communication like never before!,"A luxurious offering for bikers who don't want a compromise between safety and style. Altor Smart is the best helmet shell out there, made with cutting-edge technology. Each helmet is touch/gesture-enabled to use mobile phone functionality with a single swipe. Accept and reject calls, get notifications and send messages, all from inside the helmet.","Making roads safer, and less isolated for the two-wheeler community. Ride with safety and Google assistance all the way.","Brand: Altor Smart Helmets\nTagline: A premium smart helmet for the pro bikers out there. Experience touch-enabled communication like never before!\nProductDescription: A luxurious offering for bikers who don't want a compromise between safety and style. Altor Smart is the best helmet shell out there, made with cutting-edge technology. Each helmet is touch/gesture-enabled to use mobile phone functionality with a single swipe. Accept and reject calls, get notifications and send messages, all from inside the helmet."
Toshiba,The brand leads innovation by being a market leader in end-to-end energy management systems and solutions.,"A market leader in end-to-end energy management systems and solutions, Toshiba is an MNC headquartered in Tokyo. It offers diverse products and services such as power, industrial and social infrastructure systems, elevators and escalators, electronic components, semiconductors, hard disk drives (HDD), printers, batteries, lighting. It also offers IT solutions such as quantum cryptography.",Your go-to name for technological innovation!,"Brand: Toshiba\nTagline: The brand leads innovation by being a market leader in end-to-end energy management systems and solutions.\nProductDescription: A market leader in end-to-end energy management systems and solutions, Toshiba is an MNC headquartered in Tokyo. It offers diverse products and services such as power, industrial and social infrastructure systems, elevators and escalators, electronic components, semiconductors, hard disk drives (HDD), printers, batteries, lighting. It also offers IT solutions such as quantum cryptography."
MakeMyTrip,Travel the world with us in luxury and style.,"A multi-channel platform for leisure and business travelers, MakeMyTrip supports a robust mobile ecosystem of travelers and suppliers to deliver personalized recommendations. Since our inception in 2006, our travelers can explore, research, and book from various domestic and international options.","From hotel bookings to travel arrangements to all visa-related services, we're here for you!","Brand: MakeMyTrip\nTagline: Travel the world with us in luxury and style.\nProductDescription: A multi-channel platform for leisure and business travelers, MakeMyTrip supports a robust mobile ecosystem of travelers and suppliers to deliver personalized recommendations. Since our inception in 2006, our travelers can explore, research, and book from various domestic and international options."
Joyous Health,"A Canadian brand promoting healthy lifestyle through cookbooks, online programs, e-commerce platform, and blog.","A multi-faceted healthy lifestyle brand started in 2009, Joyous Health has cultivated a dedicated following over the span of 12 years. Working in Toronto, Canada, Joy McCarthy is the founder of Joyous Health. The sole mission of the brand is to help people in realizing that simple and healthy living leads to a life filled with joy.","Experience the simple and healthy living with Joyous Health, your most trusted wellness partner. ","Brand: Joyous Health\nTagline: A Canadian brand promoting healthy lifestyle through cookbooks, online programs, e-commerce platform, and blog.\nProductDescription: A multi-faceted healthy lifestyle brand started in 2009, Joyous Health has cultivated a dedicated following over the span of 12 years. Working in Toronto, Canada, Joy McCarthy is the founder of Joyous Health. The sole mission of the brand is to help people in realizing that simple and healthy living leads to a life filled with joy."
Zomato,"It is a multinational restaurant aggregator and a food delivery company that works on the message ""every meal matters"".","A multinational restaurant aggregator and a food delivery company, Zomato is an Indian brand that has disrupted the restaurant industry for good. It has made it possible for people to order food through a single click from the restaurant of their choice by providing relevant information, user reviews, and menus of various restaurants across the city they reside.",Ordering lip-smacking food just got better!,"Brand: Zomato\nTagline: It is a multinational restaurant aggregator and a food delivery company that works on the message ""every meal matters"".\nProductDescription: A multinational restaurant aggregator and a food delivery company, Zomato is an Indian brand that has disrupted the restaurant industry for good. It has made it possible for people to order food through a single click from the restaurant of their choice by providing relevant information, user reviews, and menus of various restaurants across the city they reside."
Coca-Cola,A non-alcoholic beverage company that helps people open happiness and taste the feeling.,"A non-alcoholic beverage company, Coca-Cola manufactures, markets, and sells non-alcoholic beverages such as sparkling soft drinks, sports drinks, dairy and plant-based beverages, tea, coffee, and more. With its refreshing drinks, Coca-Cola aims towards refreshing the world and making a difference.",Feel the thirst to succeed? Drink Coca Cola and get going.,"Brand: Coca-Cola\nTagline: A non-alcoholic beverage company that helps people open happiness and taste the feeling.\nProductDescription: A non-alcoholic beverage company, Coca-Cola manufactures, markets, and sells non-alcoholic beverages such as sparkling soft drinks, sports drinks, dairy and plant-based beverages, tea, coffee, and more. With its refreshing drinks, Coca-Cola aims towards refreshing the world and making a difference."
Truecaller,Remove the uncertainty. Now know which callers to entertain and whom to avoid!,"A one-stop application for caller identification, spam blocking, and payments. Recently, Truecaller introduced a new feature asking callers the reason behind their calling. It is an application to provide the receiver with all information of a caller, during or after the call has been placed. Truecaller has got you covered - for fighting crime with law enforcement agencies, catching a harasser, preventing financial fraud - and even saving lives. Its mission is to bring back trust in communication.",One step forward - instantly know unknown number call details and spams.,"Brand: Truecaller\nTagline: Remove the uncertainty. Now know which callers to entertain and whom to avoid!\nProductDescription: A one-stop application for caller identification, spam blocking, and payments. Recently, Truecaller introduced a new feature asking callers the reason behind their calling. It is an application to provide the receiver with all information of a caller, during or after the call has been placed. Truecaller has got you covered - for fighting crime with law enforcement agencies, catching a harasser, preventing financial fraud - and even saving lives. Its mission is to bring back trust in communication."
Pepperfry,A top Indian furniture brand that sells furniture online on its own web platform.,"A pioneering brand, Pepperfry has changed the way people designed their homes. Apart from having an online shopping platform and mobile application, we also have experiential studios all over the country. We do not sell anything in these studios instead, they are an opportunity to experience the quality and comfort of Pepperfry.",Want everyone to feel jealous of your home? Buy furniture from Pepperfry and make your home feel like a palace.,"Brand: Pepperfry\nTagline: A top Indian furniture brand that sells furniture online on its own web platform.\nProductDescription: A pioneering brand, Pepperfry has changed the way people designed their homes. Apart from having an online shopping platform and mobile application, we also have experiential studios all over the country. We do not sell anything in these studios instead, they are an opportunity to experience the quality and comfort of Pepperfry."
Internshala,An Indian platform that upskills students through certified online training and 100% verified internships at startups and large organizations.,"A platform started in 2010, Internshala, aims to equip students with skills and practical experience with the help of verified internships. They offer students to learn modern vocational skills through their online trainings along with job-oriented specializations. They also provide jobs for freshly graduated students. ","Did you know that now you can find internships at top companies and startups in India sitting at your home? Yes, you can on Internshala.","Brand: Internshala\nTagline: An Indian platform that upskills students through certified online training and 100% verified internships at startups and large organizations.\nProductDescription: A platform started in 2010, Internshala, aims to equip students with skills and practical experience with the help of verified internships. They offer students to learn modern vocational skills through their online trainings along with job-oriented specializations. They also provide jobs for freshly graduated students. "
Goa Brewing Company,"An Indian brewery located in Goa that creates ""non-conformist modern beers"".","A recently formed brewery, GBC dispatches only a small amount of crates to the bars because we do not compromise with quality. We ensure that we transport freshly bottled beer to bars or beer sitting in temperature controlled rooms so that we maintain the quality. Our Eight Finger Eddie is hugely popular in the best Goan bars. ","Rumor has it, you'll love our modern beers at Goa Brewing Company. ","Brand: Goa Brewing Company\nTagline: An Indian brewery located in Goa that creates ""non-conformist modern beers"".\nProductDescription: A recently formed brewery, GBC dispatches only a small amount of crates to the bars because we do not compromise with quality. We ensure that we transport freshly bottled beer to bars or beer sitting in temperature controlled rooms so that we maintain the quality. Our Eight Finger Eddie is hugely popular in the best Goan bars. "
Hirect India,A platform for job seekers to land their dream jobs and for recruiters to find their dream employees.,"A recruitment company founded in 2018, Hirect India is the first platform in India, allowing job seekers and recruiters to directly chat with one another. The integration with AI matching algorithms allows the app to expertly match candidates with recruiters. 10 lakh job seekers and more than 30k startups currently use the app.",Struggling to find a job that suits your skills and qualifications? Try Hirect India and land your dream job.,"Brand: Hirect India\nTagline: A platform for job seekers to land their dream jobs and for recruiters to find their dream employees.\nProductDescription: A recruitment company founded in 2018, Hirect India is the first platform in India, allowing job seekers and recruiters to directly chat with one another. The integration with AI matching algorithms allows the app to expertly match candidates with recruiters. 10 lakh job seekers and more than 30k startups currently use the app."
